,2PEAT,AS1's Pool,Abrams,All the Fish,Anna E.,BMahoney,Banana,Beilein Or Bust,Bet They Got S.C.M.O.D.S.,BigJohn,Boom Boom Room,Brexitball,Bulldogs Arf #2,Bulldogs Arf 1,BuyUsAWinner,Ckillar1,Coach Kroojawoowski,Corliss > Zion,Corndog,Corner Pocket,DLee's Bracket,DLee's Wife's Mount Zion,DSW Sneaker Blowout,Dan G.,Danielle Iserlis,Dat Bracket Doe,Disco Pants and Haircuts,Eric M Entry,FeelingLucky2019,Feirman 1,Feirman 2,Feirman 3,Gene's Picks,Geoff pool 2,Geoffs winners,George Barton,Gimme the loot,Go SUNY Tech,GoDucks,HailTheBison,Holden It Down.,I think I'm dying here,Iron Lion Zion,Jeff Miller,Julie M,KathDog,Kyle Wall,LETS GO BU!,Larry G,Larry's bracket,MASNYC,MiamiGotFucked,Mrs.bos'bracket,My Bracket Sucks,My Toddlers Picks,Not a Bracket,NotAWinner,Nova 2 of 3,Operation Varsity Blues,PapaBias,PlayingBlind,Random morgy,Red Raider Quaker,Road to Zion,Rui Gooey,Sanjita Mamacita,Sara wins!,Self Defecating,Shez 2,Shez1,Skinnyjam,Sprague The Whisperer,Sprinkles,Sydney's College Fund,THE CUSE IS LOOSE,Team ODB,Team ODB2,The Devil Wears Nada,The Furst,TheStable,This Year Though...,ThisonesforPnut,Three Orange Whips,TiGo,Tim Apple,Todd's Wife,Uzo's Winner,What the Hell,Where is my money,YOU ARE UG-LY,Yogi Bear,Your Hero,Zion National Park,augdiggity,bos1,bos2,cbirn,cuttin' down the nets,gsuss,javiiiiii,qvollmert,riz1,uclakav,west coast best coast,wrinkled balls
1.0,,,,,,,,,,21.0,,,5.0,,,,,,2.0,,,,,,,,,,,13.0,28.0,,6.0,,,,,,1.0,,,,,,,,,,,,,2.0,,,,,2.0,,9.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,8.0,,20.0,,,,,,,
1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
2.0,,,,,,,,,,11.0,,2.0,5.0,2.0,,2.0,,,11.0,,,,,,,,2.0,,,15.0,17.0,,,,,,,,6.0,,,,,,,,,1.0,,,,3.0,,,,,2.0,,4.0,,,,,3.0,4.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,12.0,,,,,1.0,10.0,,12.0,,,,,,,
2.5,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,,,,,,,,,,7.0,,1.0,5.0,3.0,,1.0,,,4.0,,,,,,2.0,,1.0,,,19.0,4.0,,3.0,,,,,,6.0,,,,,2.0,,,,3.0,1.0,,,9.0,,,,,2.0,,5.0,,,,,10.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,10.0,,,,6.0,7.0,7.0,,4.0,,,,,,,
3.5,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,
4.0,,1.0,,,,,,,,18.0,,1.0,,6.0,5.0,5.0,,,11.0,,,,,,2.0,,1.0,,,8.0,4.0,,2.0,,,1.0,,1.0,3.0,,,,,1.0,,,3.0,2.0,,,,6.0,,,,,1.0,,3.0,,,,,4.0,5.0,,,,,,,,,,,,,,,2.0,,,,,,2.0,1.0,,,2.0,,,,2.0,2.0,6.0,,4.0,,,,,,2.0,
4.5,,,,,,,,,,,,,3.0,3.0,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,
5.0,,2.0,,,,,,,,10.0,,2.0,1.0,3.0,3.0,,,,3.0,,,,,1.0,1.0,,1.0,,,8.0,4.0,,3.0,,,,,3.0,1.0,,,,,1.0,,,,1.0,1.0,,,4.0,,,,,5.0,,4.0,,,,,9.0,6.0,,,,,,,,,,,,,,,,,,3.0,,,2.0,,,,9.0,,,,10.0,5.0,6.0,,2.0,,,,,,,
5.5,,,,,,,,,,2.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,2.0,,,2.0,,,,1.0,,,,,,,,1.0,,,,,,,
